Day,主力净流入,方向分类,方向标签,涨跌幅
Day 1,-2.5512383,跌,📈 涨,0.15237638
Day 2,-5.151527,跌,📈 涨,0.16323683
Day 3,-8.342857,跌,📈 涨,0.14575256
Day 4,-8.168635,跌,📈 涨,0.16090229
Day 5,-8.203793,跌,📈 涨,0.1768127
Day 6,-2.3452027,跌,📈 涨,0.18514633
Day 7,8.801531,跌,📈 涨,0.18082011
Day 8,15.471838,跌,📈 涨,0.19312674
