Day,主力净流入,方向分类,方向标签,涨跌幅
Day 1,-23.054892,跌,📉 跌,-0.23913446
Day 2,-22.69534,跌,📉 跌,-0.23768853
Day 3,-22.383245,跌,📉 跌,-0.23276357
Day 4,-22.575933,跌,📉 跌,-0.23693807
Day 5,-22.297918,跌,📉 跌,-0.23449609
Day 6,-21.514034,跌,📉 跌,-0.23543006
Day 7,-21.378626,跌,📉 跌,-0.23587586
Day 8,-21.1675,跌,📉 跌,-0.23727995
