Date,股票代码,Open,Close,High,Low,Volume,Amount,Amplitude,ChangePct,ChangeAmt,Turnover,Code
2021-06-01,300311,5.42,5.55,5.6,5.39,237523,131320124.0,3.86,2.02,0.11,4.65,300311
2021-06-02,300311,5.6,5.46,5.6,5.42,131519,72075476.0,3.24,-1.62,-0.09,2.58,300311
2021-06-03,300311,5.49,5.45,5.62,5.45,152540,84265756.0,3.11,-0.18,-0.01,2.99,300311
2021-06-04,300311,5.49,5.42,5.52,5.38,120457,65607299.0,2.57,-0.55,-0.03,2.36,300311
2021-06-07,300311,5.42,5.6,5.61,5.4,185676,102784463.0,3.87,3.32,0.18,3.64,300311
2021-06-08,300311,5.58,5.66,5.75,5.52,268238,151397825.0,4.11,1.07,0.06,5.26,300311
2021-06-09,300311,5.68,5.67,5.76,5.58,210718,119279632.0,3.18,0.18,0.01,4.13,300311
2021-06-10,300311,5.61,5.95,6.2,5.61,596143,352809968.0,10.41,4.94,0.28,11.68,300311
2021-06-11,300311,5.93,6.08,6.17,5.83,554847,334149120.0,5.71,2.18,0.13,10.87,300311
2021-06-15,300311,6.05,6.28,6.5,5.92,594852,369612720.0,9.54,3.29,0.2,11.65,300311
2021-06-16,300311,6.13,6.44,6.96,6.07,790642,512893968.0,14.17,2.55,0.16,15.49,300311
2021-06-17,300311,6.35,6.31,6.48,6.11,545670,342779776.0,5.75,-2.02,-0.13,10.69,300311
2021-06-18,300311,6.26,6.29,6.43,6.11,442513,278239984.0,5.07,-0.32,-0.02,8.67,300311
2021-06-21,300311,6.2,6.45,6.48,6.14,413572,263856728.0,5.41,2.54,0.16,8.1,300311
2021-06-22,300311,6.49,6.29,6.5,6.23,359488,227075409.0,4.19,-2.48,-0.16,7.04,300311
2021-06-23,300311,6.26,6.11,6.3,6.05,334830,205749065.0,3.97,-2.86,-0.18,6.56,300311
2021-06-24,300311,6.09,5.9,6.16,5.89,298383,178767205.0,4.42,-3.44,-0.21,5.85,300311
2021-06-25,300311,5.89,5.79,5.95,5.7,243836,141407063.0,4.24,-1.86,-0.11,4.78,300311
2021-06-28,300311,5.78,5.82,5.89,5.75,208290,121076758.0,2.42,0.52,0.03,4.08,300311
2021-06-29,300311,5.77,5.83,6.05,5.75,277890,163442202.0,5.15,0.17,0.01,5.44,300311
2021-06-30,300311,5.8,5.91,5.99,5.77,232097,137053541.0,3.77,1.37,0.08,4.34,300311
2021-07-01,300311,5.92,5.6,5.93,5.59,274199,156907213.0,5.75,-5.25,-0.31,5.13,300311
2021-07-02,300311,5.56,5.64,5.7,5.55,144462,81366509.0,2.68,0.71,0.04,2.7,300311
2021-07-05,300311,6.53,6.56,6.77,6.35,1394264,927956640.0,7.45,16.31,0.92,26.09,300311
