opendate,trade,changeratio,turnover,netamount,ratioamount
2021-09-24,8.91,-0.0660377,537.072,-36040767.5,-0.155599
2021-09-27,8.01,-0.1,608.67,-80189931.0,-0.338518
2021-09-28,7.83,-0.0224719,446.654,-6817310.0,-0.0414746
2021-09-29,7.39,-0.0549872,361.682,-30195690.28,-0.234526
2021-09-30,7.7,0.0461957,232.018,19769583.5,0.238191
2021-10-08,8.1,0.0519481,348.84,22753393.8,0.170906
2021-10-11,7.65,-0.0578818,385.374,-28853695.15,-0.204891
2021-10-12,7.32,-0.0431373,298.137,-28684348.6,-0.276689
2021-10-13,7.32,0.00136799,196.562,-9054834.35,-0.134781
2021-10-14,7.37,0.00820793,187.816,-17696.5,-0.000273284
2021-10-15,7.23,-0.0189959,188.14,-5839133.62,-0.0909952
2021-10-18,7.21,0.0,150.364,7326085.0,0.143653
2021-10-19,7.29,0.00969529,152.119,3581077.12,0.068623
2021-10-20,7.12,-0.0233196,215.746,-15587612.0,-0.214187
2021-10-21,7.05,-0.00983146,244.675,-8620987.0,-0.105819
2021-10-22,6.92,-0.0170455,202.679,-9338780.1,-0.140302
2021-10-25,7.01,0.0144718,141.572,2038968.0,0.0438255
2021-10-26,7.03,0.00285307,180.459,-1804014.5,-0.0300668
2021-10-27,6.87,-0.0227596,243.979,-15509098.5,-0.195565
2021-10-28,6.55,-0.0479651,299.304,-16954532.55,-0.181085
2021-10-29,6.78,0.0351145,238.345,1549120.32,0.0206765
2021-11-01,7.08,0.0427099,365.506,7306300.0,0.0610717
2021-11-02,7.2,0.0169492,661.924,-1102459.11,-0.00490169
2021-11-03,7.03,-0.0249653,378.259,-29034651.06,-0.231772
2021-11-04,7.11,0.0142653,332.924,3616812.22,0.0323659
2021-11-05,7.13,0.00140449,289.678,-3072372.82,-0.0314613
2021-11-08,7.4,0.0378682,487.2,29647567.56,0.17585
2021-11-09,8.14,0.1,614.323,113809268.0,0.506337
2021-11-10,8.29,0.0184275,1176.87,-62191505.3,-0.135142
2021-11-11,9.13,0.1,1311.16,140446004.76,0.260656
2021-11-12,9.23,0.0109529,1116.57,10644096.75,0.0222798
2021-11-15,8.8,-0.0486486,1048.59,-47197244.62,-0.105366
2021-11-16,8.49,-0.031927,868.832,3197886.31,0.009045
2021-11-17,9.35,0.1,867.307,106349330.37,0.287892
2021-11-18,8.91,-0.0470588,885.55,-42933877.16,-0.113879
2021-11-19,9.03,0.0146067,602.526,-1706043.0,-0.00663238
2021-11-22,9.12,0.0110865,511.261,1319443.42,0.00602792
2021-11-23,9.21,0.00876232,721.012,-20217063.1,-0.0634422
2021-11-24,9.1,-0.0130152,537.739,-36610703.74,-0.157592
2021-11-25,8.95,-0.0164835,354.421,-13190817.4,-0.0875553
2021-11-26,8.98,0.00223214,350.262,-2681076.88,-0.0180212
2021-11-29,9.19,0.0268156,418.227,19399375.08,0.10945
2021-11-30,9.25,0.0087241,580.296,-19672918.28,-0.0776064
2021-12-01,9.38,0.0140541,447.905,-964210.69,-0.00491052
2021-12-02,9.64,0.031016,866.886,36172451.02,0.0925004
2021-12-03,8.9,-0.0777202,1157.51,-119622687.17,-0.237642
2021-12-06,9.07,0.0179574,727.273,7676190.76,0.0244144
2021-12-07,8.6,-0.0518192,645.573,-46421256.82,-0.175446
2021-12-08,8.83,0.0279395,467.841,12603958.05,0.0649364
2021-12-09,8.81,-0.00226501,513.268,-11370894.5,-0.0524397
2021-12-10,9.38,0.0646992,1392.12,246462288.86,0.400595
2021-12-13,9.15,-0.0265957,869.954,-80390764.24,-0.215287
2021-12-14,9.03,-0.0131148,524.799,-14902603.48,-0.0664836
2021-12-15,8.84,-0.021041,405.065,-36963832.02,-0.217076
2021-12-16,8.93,0.00903955,396.886,-18752635.28,-0.113559
2021-12-17,8.7,-0.0257559,292.419,-30924647.5,-0.256319
2021-12-20,8.66,-0.00345224,221.623,-8434977.14,-0.0930814
2021-12-21,8.86,0.0230947,366.799,20836258.28,0.137555
2021-12-22,8.89,0.00225479,359.847,-28960610.0,-0.193734
2021-12-23,9.18,0.0326209,676.031,55007355.86,0.189718
2021-12-24,8.59,-0.0622271,608.003,-73482162.44,-0.290665
2021-12-27,8.3,-0.0337602,362.481,-22390246.49,-0.157463
2021-12-28,8.48,0.0216867,210.587,6249120.23,0.0751565
2021-12-29,8.52,0.00471698,207.293,9092722.98,0.109877
2021-12-30,8.53,0.0,181.128,-9626337.0,-0.131606
2021-12-31,8.53,0.0,181.128,-9626337.0,-0.131606
2022-01-04,8.53,0.0,181.128,-9626337.0,-0.131606
2022-01-05,8.2,-0.0531178,350.847,-48490073.33,-0.352511
2022-01-06,8.22,0.00243902,152.385,1227917.5,0.0208384
2022-01-07,7.91,-0.0377129,233.175,-22155943.76,-0.249913
2022-01-10,8.07,0.021519,128.206,13094559.71,0.270703
2022-01-11,8.05,-0.00247831,104.747,-4529035.0,-0.113562
2022-01-12,8.15,0.0124224,91.7998,2039848.0,0.0580366
2022-01-13,8.02,-0.0159509,108.085,-7760198.5,-0.188573
2022-01-14,8.04,0.00249377,118.802,1718969.86,0.0381462
2022-01-17,8.14,0.00992556,141.606,9083209.93,0.167634
2022-01-18,7.85,-0.0368098,234.208,-30591693.26,-0.349777
2022-01-19,7.87,0.00254777,114.767,-3229091.0,-0.0762875
2022-01-20,7.6,-0.0330789,156.014,-13917673.2,-0.247158
2022-01-21,7.58,-0.00263158,81.6921,-3890066.0,-0.133268
2022-01-24,7.62,0.00660502,95.2745,2687153.0,0.0783318
2022-01-25,7.25,-0.0485564,106.537,-14228226.16,-0.383231
2022-01-26,7.3,0.00689655,71.2215,339593.06,0.0138245
2022-01-27,7.05,-0.0342466,109.55,-10672829.6,-0.289995
2022-01-28,7.19,0.0184136,105.749,1383093.25,0.0388626
2022-02-07,7.35,0.0222531,80.7369,5326111.0,0.191535
2022-02-08,7.45,0.0136054,103.336,1581265.0,0.0440659
2022-02-09,7.68,0.0308725,107.08,7170853.5,0.188393
2022-02-10,7.56,-0.0104712,86.3193,-8567021.0,-0.278786
2022-02-11,7.33,-0.0304233,109.024,-14019587.5,-0.369183
2022-02-14,7.26,-0.00819672,74.0125,-6386584.0,-0.2511
