opendate,trade,changeratio,turnover,netamount,ratioamount
2010-03-01,0.0,0.0,0.0,0.0,0.0
2010-03-08,43.56,-0.1,6042.19,169735515.98,0.470202
2010-03-09,43.7,0.00321396,4056.19,106468104.57,0.444615
2010-03-10,42.9,-0.0183066,2355.87,-10977166.75,-0.0810947
2010-03-11,44.69,0.0417249,3820.86,4706454.8,0.021063
2010-03-12,43.93,-0.017006,2925.65,-13548548.82,-0.0775307
2010-03-15,44.9,0.0220806,3033.29,13457722.19,0.0733282
2010-03-16,43.13,-0.0394209,2120.98,-20494966.57,-0.164398
2010-03-17,43.78,0.0150707,1493.99,3606271.08,0.0414309
2010-03-18,44.01,0.00525354,1670.51,6006529.89,0.0605133
2010-03-19,43.13,-0.0199955,1358.79,-7766492.54,-0.0988281
2010-03-22,43.28,0.00347786,993.435,-1635889.14,-0.0286769
2010-03-23,42.75,-0.0122458,955.42,-11380672.81,-0.208112
2010-03-24,43.84,0.0254971,1996.45,18054756.06,0.154908
2010-03-25,45.17,0.0303376,2488.79,6914283.85,0.0465572
2010-03-26,44.09,-0.0239097,1213.71,-13922610.44,-0.193171
2010-03-29,43.63,-0.0104332,1199.28,-9396801.9,-0.134102
2010-03-30,44.86,0.0281916,1858.6,11693209.04,0.104657
2010-03-31,45.91,0.0234062,2177.61,5734135.67,0.0429931
2010-04-01,45.8,-0.00239599,2524.74,4554719.91,0.0287857
2010-04-02,45.2,-0.0131004,1280.27,-23046765.68,-0.296921
2010-04-06,46.81,0.0356195,1482.38,17769838.56,0.192813
2010-04-07,47.6,0.0168767,1757.94,-627124.11,-0.00559778
2010-04-08,48.81,0.0254202,2894.0,-5534004.82,-0.0293518
2010-04-09,48.56,-0.0051219,1438.44,-7784909.1,-0.0837221
2010-04-12,48.07,-0.0100906,1314.07,-8698140.83,-0.103102
2010-04-13,0.0,0.0,0.0,0.0,0.0
2010-04-14,45.6,-0.0513834,1363.42,-198252.3,-0.00239802
2010-04-15,42.89,-0.0594298,1281.62,-13767088.2,-0.183337
2010-04-16,43.41,0.012124,500.728,295980.43,0.0101664
2010-04-19,42.5,-0.0209629,570.349,-4118242.82,-0.125083
2010-04-20,41.78,-0.0169412,821.385,-3405439.27,-0.0747542
2010-04-21,43.19,0.0337482,837.852,4069688.48,0.0848868
2010-04-22,43.39,0.0046307,657.101,-1184986.88,-0.0308664
2010-04-23,42.91,-0.0110625,688.177,-114008.16,-0.00288638
2010-04-26,41.52,-0.0323934,464.552,-5127772.49,-0.195407
2010-04-27,38.4,-0.0751445,620.113,-4689519.77,-0.144904
2010-04-28,38.12,-0.00729167,296.732,-1670525.39,-0.110092
2010-04-29,38.11,-0.000262329,313.795,636866.61,0.0392702
2010-04-30,36.8,-0.0343742,393.952,-1687551.72,-0.0875659
2010-05-04,36.0,-0.0217391,175.141,-2559273.68,-0.299803
