opendate,trade,changeratio,turnover,netamount,ratioamount
2014-09-24,7.7600,0.0130548,327.774,4043865.5000,0.0470927
2014-09-25,7.8700,0.0141753,367.037,1012126.9900,0.0104087
2014-09-26,8.0500,0.0228717,441.66,23498024.2900,0.197248
2014-09-29,8.0700,0.00248447,552.774,10576380.4000,0.0693239
2014-09-30,8.1300,0.00743494,313.075,-11550502.4500,-0.135383
2014-10-08,8.3400,0.0258303,357.624,23906985.2800,0.238385
2014-10-09,8.1900,-0.0179856,302.921,-25237702.3400,-0.299749
2014-10-10,8.0900,-0.01221,300.626,-9667557.3000,-0.117437
2014-10-13,8.0100,-0.00988875,376.009,-10854973.8300,-0.107705
2014-10-14,8.0800,0.00873908,392.072,-3742812.0300,-0.0347557
2014-10-15,8.2300,0.0185644,392.52,11666470.4200,0.107733
2014-10-16,7.9400,-0.0352369,331.527,-14804679.4400,-0.16288
2014-10-17,7.7900,-0.0188917,263.095,-13889164.1300,-0.200089
2014-10-20,7.8700,0.0102696,145.314,-1319090.2400,-0.0340841
2014-10-21,7.7300,-0.0177891,220.869,-15294417.7700,-0.262047
2014-10-22,7.6600,-0.00905563,183.015,2525145.1800,0.0525295
2014-10-23,7.6500,-0.00130548,291.318,-4356363.8300,-0.0568789
2014-10-24,7.6800,0.00392157,164.244,-8734268.7600,-0.204944
2014-10-27,7.7800,0.0130208,146.828,-3253489.5100,-0.0851289
2014-10-28,7.9300,0.0192802,213.839,6142860.8500,0.107667
2014-10-29,8.0400,0.0138714,295.3,2373840.5400,0.0296335
2014-10-30,8.2100,0.0211443,604.865,702770.9700,0.00415144
2014-10-31,8.6100,0.0487211,946.743,49544896.3200,0.182024
2014-11-03,8.7100,0.0116144,555.278,7693669.2500,0.047482
2014-11-04,8.5300,-0.0206659,333.481,-16528700.5700,-0.170204
2014-11-05,9.0400,0.059789,685.327,38469270.4500,0.186557
2014-11-06,9.1900,0.0165929,671.294,-12842053.7400,-0.0620219
2014-11-07,8.8200,-0.0402612,506.763,-38101450.2200,-0.247536
2014-11-10,8.8000,-0.00226757,292.613,-10102962.0600,-0.116183
2014-11-11,8.3900,-0.0465909,512.142,-38032304.3600,-0.257965
2014-11-12,8.5300,0.0166865,251.917,392828.2800,0.0054426
2014-11-13,8.3900,-0.0164127,299.406,-16000941.5700,-0.189207
2014-11-14,8.3900,0,135.918,-3187658.4200,-0.0827137
2014-11-17,8.7100,0.0381406,317.625,5336631.6500,0.0571989
2014-11-18,8.7300,0.00229621,233.822,-6225650.3900,-0.0902276
2014-11-19,8.8000,0.00801833,380.738,-29173619.2500,-0.261359
2014-11-20,9.0000,0.0227273,435,14977137.0100,0.114408
2014-11-21,8.9200,-0.00888889,287.076,-17215547.7500,-0.198044
2014-11-24,8.9400,0.00224215,275.479,-1798071.4900,-0.0216833
2014-11-25,9.0400,0.0111857,384.701,-9408470.0700,-0.0804084
2014-11-26,8.9600,-0.00884956,255.727,-10378849.8600,-0.133358
2014-11-27,8.8100,-0.0167411,405.832,-19387054.2100,-0.159169
2014-11-28,8.6000,-0.0238365,463.172,-26311109.8700,-0.193898
2014-12-01,8.6200,0.00232558,429.126,-22901741.1000,-0.182532
2014-12-02,8.7300,0.012761,341.491,900574.4200,0.00889237
2014-12-03,8.9600,0.0263459,483.431,10992358.3700,0.0762924
2014-12-04,9.1400,0.0200893,595.368,7778010.6700,0.0425471
2014-12-05,8.6700,-0.0514223,498.429,-34919055.9300,-0.235251
2014-12-08,8.6300,-0.00461361,405.924,-136605.5500,-0.00113781
2014-12-09,7.9900,-0.0741599,659.834,-50970367.5000,-0.275328
2014-12-10,8.2300,0.0300375,301.123,-4279936.4900,-0.0514969
2014-12-11,8.3100,0.00972054,250.639,-3651575.0600,-0.0522631
2014-12-12,8.4800,0.0204573,258.107,9701806.6400,0.131748
2014-12-15,8.5400,0.00707547,268.723,-2302284.0500,-0.0297812
2014-12-16,8.8100,0.0316159,510.866,20967390.7600,0.138701
2014-12-17,9.4100,0.0681044,953.374,30646481.8600,0.104261
2014-12-18,9.4500,0.0042508,768.58,-90592.9100,-0.000369329
2014-12-19,9.4400,-0.0010582,708.307,455621.6500,0.00202998
2014-12-22,8.8600,-0.0614407,506.798,-34299562.2900,-0.224037
2014-12-23,8.6400,-0.0248307,450.027,-5723718.8100,-0.0437318
2014-12-24,9.0200,0.0439815,448.3,26116780.9000,0.193844
2014-12-25,9.3700,0.0388027,821.9,75137096.6200,0.290093
2014-12-26,9.2400,-0.0138741,883.464,28057348.9400,0.0998497
2014-12-29,8.9600,-0.030303,907.659,-44347759.9700,-0.162646
2014-12-30,8.9800,0.00223214,869.707,50735240.0200,0.191768
2014-12-31,8.8600,-0.013363,779.062,25887494.9200,0.110513
2015-01-05,8.6400,-0.0248307,498.316,-27374056.8200,-0.190234
2015-01-06,8.7000,0.00694444,356.717,-7723628.0900,-0.0742744
2015-01-07,8.6800,-0.00229885,259.497,-13984713.2000,-0.182993
2015-01-08,8.9800,0.0345622,464.191,12733668.6400,0.091791
2015-01-09,8.5900,-0.0434298,475.761,-44577862.5000,-0.313985
2015-01-12,8.4100,-0.0209546,273.204,-5191818.0200,-0.0668172
2015-01-13,8.7400,0.039239,299.616,17320965.5200,0.198107
2015-01-14,8.5900,-0.0171625,138.589,-11081572.2400,-0.274734
2015-01-15,8.5700,-0.00232829,175.924,-5737476.4500,-0.112155
2015-01-16,8.5700,0,269.422,3834055.8900,0.0490601
2015-01-19,8.6000,0.00350058,409.05,5424796.6100,0.045946
2015-01-20,9.0200,0.0488372,893.755,56554777.2500,0.211939
2015-01-21,9.0200,0,632.791,-32604968.8000,-0.167702
2015-01-22,9.3100,0.0321508,841.3,23594143.5700,0.0886932
2015-01-23,9.1100,-0.0214823,515.394,-43643668.6400,-0.273396
