opendate,trade,changeratio,turnover,netamount,ratioamount
2021-09-24,2.95,-0.00337838,5.62417,-221158435.27,-0.444625
2021-09-27,2.94,0.0,7.47357,-89583380.36,-0.136585
2021-09-28,2.95,0.00682594,6.88234,139768617.76,0.230236
2021-09-29,2.97,0.00677966,7.93337,258032617.4,0.368689
2021-09-30,2.94,-0.00675676,6.88483,-194675178.5,-0.320849
2021-10-08,2.97,0.0102041,8.56198,154167088.27,0.203456
2021-10-11,2.99,0.0101351,10.0921,272592158.36,0.302585
2021-10-12,2.98,-0.00334448,8.03956,-44462119.48,-0.0620137
2021-10-13,2.97,-0.0033557,4.50345,-59700082.04,-0.149267
2021-10-14,2.95,-0.00337838,4.2651,-36705248.1,-0.097262
2021-10-15,2.96,0.00338983,5.23106,-121026294.8,-0.261642
2021-10-18,2.96,0.00338983,6.72468,9079726.84,0.0152688
2021-10-19,2.95,-0.00337838,4.69089,-104661332.33,-0.252463
2021-10-20,2.94,-0.00338983,4.74641,-50260022.53,-0.12005
2021-10-21,2.97,0.00677966,7.87637,189106903.11,0.270999
2021-10-22,2.96,-0.003367,5.58352,-41864402.93,-0.0845183
2021-10-25,2.96,0.0,4.6477,-23247299.94,-0.0565072
2021-10-26,2.95,-0.00337838,6.8675,-213391623.71,-0.352139
2021-10-27,2.94,0.0,5.05037,-66204257.01,-0.149197
2021-10-28,2.94,0.0,4.89784,-110654117.18,-0.257514
2021-10-29,2.93,0.0,4.81279,79086758.58,0.187003
2021-11-01,2.96,0.00680272,8.77697,164769227.88,0.212579
2021-11-02,2.93,-0.0101351,9.9067,-121703647.54,-0.139594
2021-11-03,2.94,0.00341297,5.66338,-54251672.2,-0.109154
2021-11-04,2.93,0.0,5.55455,-55789490.77,-0.114705
2021-11-05,2.93,0.00342466,4.5165,-59101302.88,-0.149577
2021-11-08,2.92,0.0,4.45984,-113144945.85,-0.289962
2021-11-09,2.93,0.00342466,3.93402,-61552496.59,-0.17881
2021-11-10,2.91,-0.00342466,6.17995,-87201721.18,-0.161672
2021-11-11,2.94,0.0103093,7.4838,353431691.54,0.539007
2021-11-12,2.93,-0.00340136,5.0368,-50865061.47,-0.115237
2021-11-15,2.93,0.0,4.74735,78843615.36,0.189353
2021-11-16,2.93,0.0,4.82772,-128396203.4,-0.303424
2021-11-17,2.93,0.0,5.94194,150438592.64,0.288973
2021-11-18,2.93,0.0,4.83853,-108360755.4,-0.25509
2021-11-19,2.95,0.00682594,7.73475,266569179.86,0.391742
2021-11-22,2.94,-0.00338983,6.15577,-315556701.76,-0.582444
2021-11-23,2.94,0.0,4.8596,48733184.7,0.114167
2021-11-24,2.94,0.0,4.26869,-5702942.24,-0.0152075
2021-11-25,2.92,-0.00680272,4.92246,-220543195.47,-0.510927
2021-11-26,2.92,0.0,6.81976,-287952371.55,-0.483135
2021-11-29,2.92,0.0,8.1089,12447802.78,0.0176007
2021-11-30,2.91,-0.00342466,6.58036,-259651739.68,-0.452528
2021-12-01,2.93,0.00687285,6.05087,172160540.28,0.325228
2021-12-02,2.93,0.0,6.02108,-53146855.28,-0.10085
2021-12-03,2.93,0.0,5.26895,-66087621.0,-0.143306
2021-12-06,2.93,0.0,7.23677,201632519.01,0.317408
2021-12-07,2.94,0.00341297,10.1001,247956386.94,0.279
2021-12-08,2.93,-0.00340136,8.55782,-115355898.39,-0.153513
2021-12-09,2.94,0.00341297,10.8203,415488990.76,0.435923
2021-12-10,2.95,0.0,10.0612,139886365.27,0.157702
2021-12-13,2.94,0.0,8.35021,-174765974.94,-0.237699
2021-12-14,2.93,0.0,8.1003,-52970280.82,-0.0744865
2021-12-15,2.93,0.0,8.03741,63617815.72,0.0903674
2021-12-16,2.94,0.00341297,8.24491,190173529.1,0.262718
2021-12-17,2.93,-0.00340136,7.02536,-137146603.78,-0.222349
2021-12-20,2.94,0.00341297,5.87321,150223889.64,0.291008
2021-12-21,2.95,0.00340136,8.99945,190326555.38,0.240006
2021-12-22,2.94,0.0,7.55768,202892266.15,0.30437
2021-12-23,2.94,0.0,5.48018,-113632726.93,-0.235491
2021-12-24,2.94,0.0,4.44992,24824251.0,0.0634612
2021-12-27,2.94,0.0,4.37949,89435382.98,0.232397
2021-12-28,2.94,0.0,9.68584,39589435.88,0.0463574
2021-12-29,2.94,-0.00338983,5.41288,-178644313.68,-0.375296
