opendate,trade,changeratio,turnover,netamount,ratioamount
2010-03-01,22.99,-0.0175214,840.42,38970647.26,0.720063
2010-03-08,22.9,-0.0120794,441.203,19195195.79,0.680328
2010-03-09,22.9,0.0,417.183,21245167.87,0.796558
2010-03-10,22.85,-0.00218341,230.571,-3488653.92,-0.236387
2010-03-11,22.64,-0.00919037,242.633,-1675532.15,-0.108762
2010-03-12,22.25,-0.0172261,415.948,192296.78,0.00735779
2010-03-15,22.4,0.00674157,255.134,-2860923.86,-0.178846
2010-03-16,22.78,0.0169643,327.976,-428883.14,-0.0205628
2010-03-17,23.12,0.0149254,483.7,3952838.22,0.126969
2010-03-18,23.38,0.0112457,447.875,-177936.77,-0.00609716
2010-03-19,23.38,0.0,354.086,1032943.51,0.044707
2010-03-22,23.25,-0.00556031,339.611,-2958960.33,-0.133874
2010-03-23,22.51,-0.031828,497.645,-8880799.4,-0.279995
2010-03-24,22.6,0.00399822,367.304,-1088850.24,-0.0468795
2010-03-25,23.25,0.0287611,719.073,4452065.38,0.0953728
2010-03-26,23.08,-0.00731183,346.907,-2958829.76,-0.132058
2010-03-29,23.1,0.000866551,366.342,-3448758.57,-0.146291
2010-03-30,23.6,0.021645,692.939,9859179.56,0.216722
2010-03-31,23.78,0.00762712,745.126,3497238.99,0.0702008
2010-04-01,24.57,0.0332212,1006.52,11229407.34,0.164164
2010-04-02,24.37,-0.00814001,577.101,-6556166.18,-0.166293
2010-04-06,24.18,-0.00779647,674.688,-4870014.14,-0.106492
2010-04-07,24.94,0.0314309,1058.09,13134333.68,0.181518
2010-04-08,24.75,-0.00761828,898.976,-5331995.79,-0.0848609
2010-04-09,25.11,0.0145455,755.92,-462799.22,-0.00876761
2010-04-12,26.34,0.0489845,1694.8,11901837.99,0.095998
2010-04-13,26.4,0.0022779,2108.91,3427293.28,0.0221174
2010-04-14,26.1,-0.0113636,812.838,-8149729.09,-0.136667
2010-04-15,26.02,-0.00306513,874.175,-3226588.11,-0.0504308
2010-04-16,25.31,-0.0272867,768.203,-12717719.77,-0.23118
2010-04-19,24.9,-0.0161991,735.612,-5314190.91,-0.103534
2010-04-20,25.05,0.0060241,413.045,1608949.53,0.0560025
2010-04-21,25.49,0.0175649,884.42,7780915.98,0.124601
2010-04-22,24.84,-0.0255002,861.98,-9928961.55,-0.164124
2010-04-23,24.23,-0.0245572,695.729,-11755573.98,-0.245675
2010-04-26,24.46,0.00949236,488.822,-4266656.54,-0.127044
2010-04-27,22.92,-0.0629599,538.114,-7917423.99,-0.226985
2010-04-28,21.76,-0.0506108,458.192,-1484529.69,-0.0522878
2010-04-29,21.14,-0.0284926,357.444,-3745383.11,-0.172507
2010-04-30,20.83,-0.0146641,314.72,-2398556.91,-0.130299
2010-05-04,20.91,0.00384061,176.886,-839565.27,-0.0813341
2010-05-05,0.0,0.0,0.0,0.0,0.0
2010-05-06,20.94,0.00143472,411.635,-1193736.07,-0.0482673
2010-05-07,20.05,-0.0425024,305.846,-3121672.74,-0.178791
2010-05-10,18.41,-0.0817955,462.922,562186.83,0.0230475
2010-05-11,18.12,-0.0157523,292.644,-3396561.77,-0.22396
2010-05-12,18.15,0.00165563,203.305,580062.62,0.0563078
2010-05-13,18.4,0.0137741,356.231,2056597.43,0.113362
2010-05-14,18.47,0.00380435,313.424,-556095.95,-0.0343121
2010-05-17,16.63,-0.099621,442.517,-4333733.92,-0.201851
2010-05-18,16.7,0.00420926,379.776,236206.42,0.0135702
2010-05-19,16.88,0.0107784,348.282,-1511596.83,-0.0917299
2010-05-20,16.5,-0.0225118,388.892,-3178777.34,-0.172474
2010-05-21,17.2,0.0424242,449.014,4563308.25,0.218359
2010-05-24,18.17,0.0563953,755.014,4320664.49,0.11517
2010-05-25,17.88,-0.0159604,432.247,-3067623.64,-0.14178
2010-05-26,17.77,-0.00615213,361.582,93285.46,0.00515957
2010-05-27,17.97,0.0112549,424.945,1086140.15,0.0516769
2010-05-28,18.06,0.00500835,373.525,-2077037.69,-0.109695
2010-05-31,17.11,-0.0526024,283.325,-3664667.22,-0.26183
2010-06-01,16.92,-0.0111046,246.623,-860906.84,-0.0738121
2010-06-02,17.02,0.00591017,301.397,-443082.85,-0.0315996
2010-06-03,17.5,0.0282021,626.344,-632512.92,-0.0204997
2010-06-04,18.03,0.0302857,355.795,6672467.82,0.250563
2010-06-07,19.37,0.0743206,606.606,8757040.96,0.183799
2010-06-08,19.18,-0.00980898,458.239,-5636782.06,-0.154319
2010-06-09,19.75,0.0297185,473.195,2511951.94,0.0654157
2010-06-10,20.75,0.0506329,663.009,10854262.5,0.191346
2010-06-11,13.61,-0.0130529,1176.56,-6813906.92,-0.0996535
2010-06-17,13.54,-0.00514328,575.396,-538453.53,-0.0163035
2010-06-18,0.0,0.0,0.0,0.0,0.0
2010-06-21,13.2,-0.0251108,638.948,-2247931.07,-0.0655465
2010-06-22,13.02,-0.0136364,364.9,-3227165.8,-0.160112
2010-06-23,12.88,-0.0107527,296.53,-2930976.11,-0.182646
2010-06-24,13.0,0.00931677,226.869,533537.92,0.0432847
2010-06-25,12.85,-0.0115385,384.479,408299.21,0.0199848
2010-06-28,13.6,0.0583658,1084.56,10570363.7,0.173439
2010-06-29,13.03,-0.0419118,1028.09,-6196690.7,-0.106717
2010-06-30,12.45,-0.0445127,628.303,-4360718.35,-0.134214
2010-07-01,11.86,-0.0473896,456.858,-5578477.58,-0.240858
2010-07-02,11.5,-0.0303541,376.445,-3253919.39,-0.179727
2010-07-05,11.49,-0.000869565,257.1,-233350.16,-0.0189562
2010-07-06,11.7,0.0182768,403.969,2407214.6,0.122091
2010-07-07,11.66,-0.0034188,321.199,1489411.21,0.0957795
2010-07-08,11.65,-0.000857633,301.888,-1985975.5,-0.13355
2010-07-09,11.92,0.023176,403.078,1559253.35,0.0777783
2010-07-12,12.1,0.0151007,391.79,-2111013.17,-0.105934
2010-07-13,11.83,-0.022314,369.664,-4808139.79,-0.259286
2010-07-14,11.94,0.00929839,292.437,-1549082.81,-0.105653
2010-07-15,11.54,-0.0335008,315.392,-2377612.17,-0.151929
2010-07-16,11.38,-0.0138648,326.32,-933283.72,-0.0605837
2010-07-19,11.56,0.0158172,255.913,2071109.73,0.16847
2010-07-20,12.05,0.0423875,468.067,3614138.96,0.154846
2010-07-21,12.2,0.0124481,582.825,1141008.15,0.0381419
2010-07-22,13.0,0.0655738,810.726,-415053.19,-0.00976164
2010-07-23,13.05,0.00384615,737.728,1592044.63,0.0401198
2010-07-26,13.07,0.00153257,552.77,-1507640.93,-0.0499561
2010-07-27,13.26,0.0145371,732.815,5489340.9,0.1355
2010-07-28,13.68,0.0316742,1468.57,6821351.59,0.0806307
2010-07-29,13.83,0.0109649,782.915,-1672077.73,-0.0371086
