opendate,trade,changeratio,turnover,netamount,ratioamount
2021-09-24,7.8,-0.0358467,224.511,-63668921.03,-0.346466
2021-09-27,7.15,-0.0833333,291.619,-56492452.45,-0.251142
2021-09-28,7.14,-0.00557103,117.965,-9368721.64,-0.107268
2021-09-29,7.08,-0.00840336,96.6709,-9694069.29,-0.136179
2021-09-30,7.17,0.0127119,72.3892,-817859.04,-0.015221
2021-10-08,7.32,0.0209205,97.7839,8468609.97,0.114116
2021-10-11,7.29,-0.00545703,80.1457,-10702915.64,-0.17712
2021-10-12,7.13,-0.0219479,97.2532,-19288707.52,-0.268547
2021-10-13,7.15,0.00280505,60.3216,4099176.1,0.092254
2021-10-14,7.09,-0.00977654,53.4877,-9739629.0,-0.247133
2021-10-15,7.12,0.0028169,50.0715,-8092357.53,-0.219296
2021-10-18,7.12,0.00140647,51.6452,-2818951.67,-0.0740158
2021-10-19,7.11,-0.00140449,106.17,2701531.12,0.0349065
2021-10-20,6.92,-0.0253521,113.276,-22276807.28,-0.272058
2021-10-21,6.95,0.00433526,68.7179,2371985.56,0.0481176
2021-10-22,6.79,-0.0230216,81.0606,-7944749.71,-0.138335
2021-10-25,6.9,0.0176991,56.0468,6322530.98,0.159274
2021-10-26,7.09,0.0275362,113.192,21196726.77,0.25615
2021-10-27,6.9,-0.0267983,70.05,-18910594.1,-0.374751
2021-10-28,6.82,-0.0115942,62.2999,-7082246.25,-0.159381
2021-10-29,7.03,0.0307918,97.9679,2768694.17,0.0388743
2021-11-01,7.43,0.056899,259.835,63472585.34,0.322778
2021-11-02,7.79,0.0484522,599.105,162952881.61,0.330035
2021-11-03,8.55,0.100386,1048.11,492562590.17,0.548952
2021-11-04,8.69,0.0163743,1188.13,-49115734.98,-0.0464626
2021-11-05,8.47,-0.0264368,651.53,-25613652.79,-0.0443538
2021-11-08,8.62,0.0153121,484.63,600850.04,0.00139575
2021-11-09,8.93,0.0359629,572.002,62078931.19,0.118364
2021-11-10,9.01,0.00670391,437.63,30719965.95,0.07578
2021-11-11,9.06,0.00443459,524.624,26448480.89,0.0535988
2021-11-12,9.48,0.0406147,615.213,123234924.21,0.205107
2021-11-15,9.32,-0.0168776,413.4,-10807033.83,-0.0270377
2021-11-16,9.2,-0.00968784,400.209,287442.34,0.000750121
2021-11-17,9.25,0.00434311,392.579,42104899.04,0.111453
2021-11-18,9.18,-0.00756757,346.559,14809946.02,0.0443889
2021-11-19,9.3,0.0130719,296.625,22437663.33,0.0791101
2021-11-22,9.29,-0.00107527,299.912,-6595160.13,-0.0230979
2021-11-23,9.31,0.00107527,314.182,35006744.16,0.114782
2021-11-24,9.15,-0.0192926,282.957,-31762256.41,-0.118119
2021-11-25,9.03,-0.0131148,199.173,-21525519.78,-0.114403
2021-11-26,9.18,0.0154867,225.0,15144702.08,0.0706687
2021-11-29,9.27,0.00980392,284.081,36094501.16,0.133107
2021-11-30,9.34,0.00430108,431.092,-11191612.02,-0.0269778
2021-12-01,9.25,-0.00751073,435.449,-8731013.17,-0.0205647
2021-12-02,9.03,-0.024838,406.425,-46723490.43,-0.12161
2021-12-03,9.21,0.0188053,330.007,8442748.51,0.0267524
2021-12-06,8.82,-0.0392157,322.703,-60049993.74,-0.1998
2021-12-07,8.45,-0.0430351,308.397,-16951992.17,-0.0620883
2021-12-08,8.64,0.0188679,261.328,15964493.06,0.0679889
2021-12-09,8.5,-0.0150637,189.985,-30355504.57,-0.18066
2021-12-10,8.49,-0.00117647,219.47,9885585.56,0.0506963
2021-12-13,8.56,0.00943396,202.46,30104965.82,0.167597
2021-12-14,8.57,0.0,195.459,-6119154.06,-0.0351681
2021-12-15,8.69,0.0151869,256.515,29187838.51,0.127171
2021-12-16,8.75,0.00806452,197.335,11312015.83,0.0637189
2021-12-17,9.63,0.100571,480.108,233820321.5,0.500674
2021-12-20,8.82,-0.0841122,975.443,-89219189.91,-0.0949743
2021-12-21,8.72,-0.0158014,481.966,3199625.36,0.00740657
2021-12-22,8.46,-0.0287026,358.192,-55356670.72,-0.175436
2021-12-23,8.6,0.0189573,387.167,16968542.26,0.0497684
2021-12-24,8.8,0.0232558,693.915,71856360.48,0.110049
2021-12-27,8.85,0.00797267,413.186,19605318.68,0.0510238
2021-12-28,9.11,0.0293785,375.947,52765726.26,0.150718
2021-12-29,8.99,-0.0131723,276.419,-22842930.31,-0.0884828
2021-12-30,8.88,-0.0111359,226.208,-29999498.95,-0.143567
2021-12-31,8.88,-0.0111359,226.208,-29999498.95,-0.143567
2022-01-04,8.88,-0.0111359,226.208,-29999498.95,-0.143567
2022-01-05,8.41,-0.0539933,345.975,-47789662.81,-0.156421
2022-01-06,8.98,0.0677765,420.44,79573162.71,0.207544
2022-01-07,8.53,-0.0490524,260.74,-44048168.23,-0.186857
2022-01-10,8.37,-0.0199063,216.444,-37137386.99,-0.197561
2022-01-11,8.26,-0.0131422,167.367,-26804184.54,-0.18518
2022-01-12,8.71,0.0557576,298.932,73257780.38,0.276439
2022-01-13,8.53,-0.0206659,179.47,-11759698.03,-0.0737586
2022-01-14,8.56,0.003517,180.156,17433850.14,0.108156
2022-01-17,8.72,0.019883,168.13,-639015.5,-0.00423159
2022-01-18,8.88,0.0183486,298.946,24882502.46,0.0912763
2022-01-19,8.99,0.0123874,544.422,62140843.26,0.120081
2022-01-20,8.77,-0.0244716,279.625,-26820139.11,-0.103976
2022-01-21,8.8,0.00571429,169.77,-4114130.31,-0.02675
2022-01-24,8.33,-0.0490868,385.049,-53573629.7,-0.157985
2022-01-25,7.52,-0.0983213,398.436,-48116023.97,-0.148675
2022-01-26,7.82,0.0398936,269.765,24145247.74,0.11144
2022-01-27,7.56,-0.0320102,201.533,-14316952.88,-0.0898017
2022-01-28,7.5,-0.00662252,166.988,-18471719.38,-0.141493
2022-02-07,7.65,0.02,168.214,-4672050.4,-0.0352527
2022-02-08,7.69,0.0065445,157.069,-8699819.85,-0.0703755
2022-02-09,7.79,0.0116883,141.437,1782838.02,0.0157296
2022-02-10,7.77,-0.00256739,154.773,-146291.29,-0.00117255
2022-02-11,7.56,-0.0257732,168.621,-34234831.07,-0.257843
2022-02-14,7.55,0.0,115.026,-2535595.18,-0.0281772
2022-02-15,7.58,0.0026455,87.4283,-1631606.58,-0.0238431
2022-02-16,7.69,0.0131752,116.632,9487623.07,0.102264
2022-02-17,7.68,0.0,117.416,-6276446.05,-0.0668347
2022-02-18,7.84,0.0208333,133.828,26967773.53,0.251269
2022-02-21,7.89,0.00766284,123.497,5211209.34,0.0518685
2022-02-22,8.07,0.0228137,339.563,3144990.57,0.0110927
2022-02-23,8.06,-0.00247525,248.105,-34651248.01,-0.168512
2022-02-24,7.9,-0.0210657,270.41,-5204424.12,-0.0232993
2022-02-25,7.94,0.00633714,152.536,3696750.46,0.029333
2022-02-28,7.97,0.00377834,111.666,5546720.21,0.0605508
2022-03-01,8.01,0.00501882,122.919,2499507.07,0.0245957
2022-03-02,7.89,-0.0149813,144.494,-28730595.44,-0.243915
2022-03-03,7.82,-0.0101266,108.503,-26069752.84,-0.295602
2022-03-04,7.63,-0.0242967,131.099,-14893010.92,-0.142593
2022-03-07,7.47,-0.0209699,119.142,-13779413.0,-0.148138
2022-03-08,7.18,-0.0375335,149.153,-19397763.13,-0.172066
2022-03-09,7.08,-0.0125523,155.84,-9674458.63,-0.0851045
2022-03-10,7.29,0.0282087,109.899,10728708.3,0.129612
2022-03-11,7.34,0.00685871,84.307,600601.76,0.00952513
2022-03-14,7.13,-0.0286104,80.3169,-8708125.6,-0.144496
2022-03-15,6.8,-0.047619,120.536,-16964727.02,-0.194738
2022-03-16,7.03,0.0338235,130.006,4713692.47,0.0509093
2022-03-17,7.05,0.00714286,106.989,-9227755.05,-0.11716
2022-03-18,7.11,0.00851064,74.4725,-5847101.92,-0.107463
2022-03-21,7.17,0.00843882,96.1575,-9759268.03,-0.137286
2022-03-22,7.12,-0.00558659,73.9836,-8653651.69,-0.158504
2022-03-23,7.16,0.00420757,91.5264,1460284.51,0.0214379
2022-03-24,7.05,-0.0167364,77.1845,-14207700.4,-0.252345
2022-03-25,6.97,-0.00994318,64.2467,-9092085.62,-0.19458
2022-03-28,6.92,-0.00574713,84.1285,-2340325.71,-0.0391058
2022-03-29,6.78,-0.0202312,81.8286,-13357147.76,-0.230777
