opendate,trade,changeratio,turnover,netamount,ratioamount
2021-09-24,382.81,-0.00566248,120.205,-67654277.01,-0.0315447
2021-09-27,376.0,-0.0174045,141.3,-270562415.07,-0.107956
2021-09-28,376.94,0.0022068,132.532,-10781325.94,-0.00468625
2021-09-29,362.2,-0.0398176,116.019,-269610219.15,-0.138492
2021-09-30,363.59,0.00383766,141.22,223875362.72,0.0944317
2021-10-08,353.0,-0.0347015,180.629,-463397666.77,-0.158165
2021-10-11,337.7,-0.0433699,163.736,99921662.32,0.038294
2021-10-12,329.5,-0.0239929,114.038,-21850456.71,-0.0124089
2021-10-13,337.49,0.0233792,109.862,76261804.83,0.0451898
2021-10-14,338.96,0.00507042,70.0876,-88083560.75,-0.080872
2021-10-15,354.05,0.0445185,146.575,336139918.63,0.142145
2021-10-18,358.45,0.0124276,120.231,-72341854.06,-0.0372964
2021-10-19,344.1,-0.0423045,112.568,-305355039.63,-0.169347
2021-10-20,347.25,0.00944767,82.1418,147972873.97,0.112583
2021-10-21,342.5,-0.0135937,72.6961,40753136.55,0.0354849
2021-10-22,368.0,0.0746722,177.676,667515723.3,0.226186
2021-10-25,374.7,0.0182065,109.703,80284525.44,0.0427858
2021-10-26,374.9,0.00053376,80.1315,-40977679.56,-0.0296533
2021-10-27,375.21,-0.00186215,80.7142,-32599746.95,-0.0234686
2021-10-28,375.21,-0.00204798,87.4254,68318798.95,0.0448169
2021-10-29,375.0,-0.00133156,131.859,175752576.88,0.0767104
2021-11-01,380.22,0.0241616,123.522,123643405.94,0.0573679
2021-11-02,396.85,0.0416011,152.828,360815554.0,0.129536
2021-11-03,387.5,-0.0263819,121.64,-342696640.71,-0.156465
2021-11-04,381.82,-0.0146835,98.7066,-113795327.07,-0.0644894
2021-11-05,380.71,-0.00405483,95.5858,10119410.2,0.00597198
2021-11-08,381.37,0.00891534,89.443,46478900.21,0.029978
2021-11-09,403.1,0.0567848,150.474,437959478.3,0.160962
2021-11-10,409.98,0.0142999,128.964,38812464.74,0.0161347
2021-11-11,448.26,0.0906569,241.838,1285850415.68,0.264971
2021-11-12,438.22,-0.0302722,142.975,-129078744.01,-0.0442772
2021-11-15,415.83,-0.0570534,149.782,-285766972.21,-0.0979327
2021-11-16,406.5,-0.02239,102.108,-43683058.44,-0.0227219
2021-11-17,409.13,0.00508525,98.7198,-15752206.66,-0.00859414
2021-11-18,404.34,-0.0117078,73.7268,-130886081.29,-0.0955798
2021-11-19,395.19,-0.0248482,123.157,-252566251.97,-0.113032
2021-11-22,402.8,0.0184319,148.998,-91760103.32,-0.0336324
2021-11-23,387.3,-0.0402914,136.79,-456757066.26,-0.185945
2021-11-24,386.86,-0.00293814,82.3653,-21709459.38,-0.0146884
2021-11-25,388.78,0.00511892,87.6738,51855343.81,0.0331083
2021-11-26,372.19,-0.0495659,141.694,-347167500.48,-0.141277
2021-11-29,376.3,0.0113145,84.9601,49404456.73,0.0336606
2021-11-30,384.97,0.0229586,119.957,93515010.81,0.0441404
2021-12-01,381.89,-0.0131786,77.583,-145438706.78,-0.105973
2021-12-02,376.03,-0.0148546,82.6297,-1613578.0,-0.00111846
2021-12-03,386.95,0.0237314,126.865,160091757.04,0.0713195
2021-12-06,384.73,-0.00586563,82.0799,-46374536.55,-0.0319331
2021-12-07,363.9,-0.0541173,122.666,-275460019.22,-0.131486
2021-12-08,378.39,0.0402188,111.153,358067597.62,0.186559
2021-12-09,373.99,-0.0116282,87.0648,-69666216.28,-0.0466664
2021-12-10,367.74,-0.0172635,101.6,-128078093.62,-0.0744373
2021-12-13,369.05,0.00307132,77.5006,-21851314.94,-0.016585
2021-12-14,368.37,-0.00170732,101.259,725641.87,0.000426136
2021-12-15,361.9,-0.0179104,83.0681,-183112415.72,-0.131386
2021-12-16,369.23,0.0226278,117.471,392191074.95,0.1958
2021-12-17,345.47,-0.0650338,161.946,-376445852.9,-0.143951
2021-12-20,343.0,-0.00723589,137.389,23178253.61,0.0105183
2021-12-21,346.65,0.0106414,95.5934,-35407356.58,-0.0231608
2021-12-22,343.05,-0.00989956,100.841,-113797437.31,-0.0706502
2021-12-23,341.29,-0.0044049,74.1353,-1399254.73,-0.00119904
2021-12-24,329.95,-0.0318369,142.568,-76690661.26,-0.0353264
2021-12-27,324.4,-0.0169697,92.6034,-19084577.59,-0.0137027
2021-12-28,329.72,0.0165248,116.55,185663252.68,0.106228
2021-12-29,329.67,-0.000151644,95.9649,11997097.7,0.00826888
2021-12-30,340.08,0.031577,155.721,188559818.66,0.0778808
2021-12-31,340.08,0.031577,155.721,188559818.66,0.0778808
2022-01-04,340.08,0.031577,155.721,188559818.66,0.0778808
2022-01-05,300.01,-0.049398,213.519,279709880.61,0.0931435
2022-01-06,296.8,-0.0106667,144.544,-81533227.47,-0.0411782
2022-01-07,292.3,-0.0152944,116.69,57536878.89,0.0360933
2022-01-10,288.78,-0.0155787,125.263,-142868425.66,-0.0854935
2022-01-11,277.0,-0.0410248,217.497,13228101.85,0.00472496
2022-01-12,294.0,0.0613718,253.591,602908365.04,0.177967
2022-01-13,283.5,-0.0357143,147.793,-404139211.32,-0.208133
2022-01-14,288.5,0.0178162,208.625,230191668.4,0.0818479
2022-01-17,307.65,0.0656022,237.331,448600300.14,0.13336
2022-01-18,314.89,0.0236996,186.288,-34731554.99,-0.0127478
2022-01-19,307.1,-0.0238398,135.943,58636104.78,0.0305348
2022-01-20,305.74,-0.00244706,80.9084,12267927.1,0.01078
