opendate,trade,changeratio,turnover,netamount,ratioamount
2025-01-27,0.0000,0,0,0.0000,0
2025-02-05,0.0000,0,0,0.0000,0
2025-02-06,1.1110,0.0220791,829.436,4060902.2250,0.219059
2025-02-07,1.1290,0.0171171,1021.59,4217309.5520,0.18013
2025-02-10,1.1370,0.00619469,936.496,923599.6040,0.0428854
2025-02-11,1.1270,-0.00792253,424.192,-2188606.6320,-0.225008
2025-02-12,1.1440,0.0150843,659.233,2164086.5760,0.142418
2025-02-13,1.1370,-0.00611888,448.428,-1175987.1200,-0.113133
2025-02-14,1.1480,0.0114537,734.808,2054199.1000,0.120304
2025-02-17,1.1520,0.0043592,505.88,210091.1000,0.0177371
2025-02-18,1.1340,-0.015625,517.695,-2260152.5500,-0.187697
2025-02-19,1.1490,0.0123348,607.657,3930467.5840,0.278261
2025-02-20,1.1510,0.00174064,348.323,2779481.1800,0.341182
2025-02-21,1.1720,0.0173611,853.591,1516376.9660,0.0749981
2025-02-24,1.1720,-0.00170358,545.112,929785.7000,0.0716166
2025-02-25,1.1570,-0.0127986,505.595,1092904.9000,0.0916125
2025-02-26,1.1680,0.00776532,601.967,170365.5120,0.0119677
2025-02-27,1.1660,-0.0025663,322.489,-1277456.1770,-0.167619
2025-02-28,1.1360,-0.025729,589.922,-1812096.5690,-0.131916
2025-03-03,1.1450,0.00792253,381.765,-5809.4520,-0.000655039
2025-03-04,1.1420,-0.0034904,274.782,1318851.0000,0.207555
2025-03-05,1.1440,0.00175131,164.559,457207.5000,0.119688
2025-03-06,1.1630,0.0166084,493.59,3543331.8240,0.304581
2025-03-07,1.1590,-0.00343938,391.955,402205.1000,0.0435373
2025-03-10,1.1560,-0.00258844,408.868,-2740473.0400,-0.285794
2025-03-11,1.1580,0.0017301,294.479,244746.6000,0.0354962
2025-03-12,1.1590,0.000863558,329.784,1158607.5900,0.148835
2025-03-13,1.1480,-0.00949094,401.122,-2409578.8000,-0.257407
2025-03-14,1.1720,0.0209059,810.823,8370016.7220,0.435435
2025-03-17,1.1700,-0.00170648,394.474,757328.9730,0.0806857
2025-03-18,1.1770,0.00598291,548.021,4819135.9500,0.368055
2025-03-19,1.1730,-0.00339847,365.03,-1945557.1000,-0.223755
2025-03-20,1.1660,-0.0059676,304.048,-1341185.8760,-0.185894
2025-03-21,1.1460,-0.0171527,633.026,-2047927.3920,-0.138135
2025-03-24,1.1470,0.0008726,533.235,-2981298.2140,-0.241426
2025-03-25,1.1410,-0.00523104,371.276,3600515.0840,0.4181
2025-03-26,1.1410,-0.000875657,270.29,1189222.2000,0.189435
2025-03-27,1.1430,0.00175285,369.329,-572512.1490,-0.0668486
2025-03-28,1.1380,-0.00437445,212.467,-2604719.6240,-0.529707
2025-03-31,1.1240,-0.0123023,600.802,153744.2000,0.0111841
2025-04-01,1.1270,0.00266904,312.293,2385165.3720,0.333218
