日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-09-24,002475,34.56,34.86,35.9,34.16,960292,3438634256.0,5.01,0.35,0.12,1.37
2021-09-27,002475,34.86,36.1,36.62,34.66,972162,3563584304.0,5.62,3.56,1.24,1.38
2021-09-28,002475,36.1,35.07,36.1,34.86,546309,1970308992.0,3.43,-2.85,-1.03,0.78
2021-09-29,002475,34.46,34.97,35.39,33.85,551236,1947621872.0,4.39,-0.29,-0.1,0.78
2021-09-30,002475,34.97,34.97,35.46,34.76,361610,1296961136.0,2.0,0.0,0.0,0.51
2021-10-08,002475,36.26,36.94,37.18,35.76,858838,3219976768.0,4.06,5.63,1.97,1.22
2021-10-11,002475,36.86,36.83,38.05,36.66,612184,2321984288.0,3.76,-0.3,-0.11,0.87
2021-10-12,002475,36.83,35.71,36.95,35.39,543414,1998069472.0,4.24,-3.04,-1.12,0.77
2021-10-13,002475,35.48,35.42,35.75,34.86,429323,1546910560.0,2.49,-0.81,-0.29,0.61
2021-10-14,002475,35.69,34.98,35.71,34.95,306369,1100443792.0,2.15,-1.24,-0.44,0.44
2021-10-15,002475,35.06,35.44,35.86,34.63,456225,1649168064.0,3.52,1.32,0.46,0.65
2021-10-18,002475,35.34,34.05,35.34,33.82,534966,1871388288.0,4.29,-3.92,-1.39,0.76
2021-10-19,002475,34.19,36.25,36.94,34.19,856508,3136367584.0,8.08,6.46,2.2,1.22
2021-10-20,002475,36.65,36.35,36.7,35.77,438104,1617056768.0,2.57,0.28,0.1,0.62
2021-10-21,002475,36.26,36.54,37.56,36.11,622849,2341408080.0,3.99,0.52,0.19,0.89
2021-10-22,002475,36.53,37.09,37.38,36.2,521739,1967833552.0,3.23,1.51,0.55,0.74
2021-10-25,002475,37.06,37.02,37.44,36.41,456014,1723877632.0,2.78,-0.19,-0.07,0.65
2021-10-26,002475,36.81,38.58,38.76,36.48,1064459,4120783648.0,6.16,4.21,1.56,1.51
2021-10-27,002475,38.36,37.38,38.36,37.27,659338,2534874640.0,2.83,-3.11,-1.2,0.94
2021-10-28,002475,36.26,38.14,39.36,36.01,1613414,6296787968.0,8.96,2.03,0.76,2.29
2021-10-29,002475,38.12,37.9,38.58,37.46,704002,2729298432.0,2.94,-0.63,-0.24,1.0
2021-11-01,002475,37.9,39.05,39.29,37.26,778276,3075787408.0,5.36,3.03,1.15,1.11
2021-11-02,002475,38.96,39.04,39.74,38.46,616935,2454522528.0,3.28,-0.03,-0.01,0.88
2021-11-03,002475,39.26,39.04,39.44,38.35,439897,1744057264.0,2.79,0.0,0.0,0.63
2021-11-04,002475,39.22,40.46,41.23,39.12,844091,3471367872.0,5.4,3.64,1.42,1.2
2021-11-05,002475,40.47,40.46,41.43,40.41,618384,2575714608.0,2.52,0.0,0.0,0.88
2021-11-08,002475,40.28,39.96,40.45,38.94,549687,2224415584.0,3.73,-1.24,-0.5,0.78
2021-11-09,002475,39.96,39.16,40.26,38.46,555470,2214451008.0,4.5,-2.0,-0.8,0.79
2021-11-10,002475,39.15,38.81,39.39,38.46,442498,1750723856.0,2.37,-0.89,-0.35,0.63
2021-11-11,002475,38.66,39.15,39.83,38.48,532654,2135757856.0,3.48,0.88,0.34,0.76
2021-11-12,002475,39.07,39.74,40.04,38.39,413607,1663609152.0,4.21,1.51,0.59,0.59
2021-11-15,002475,39.72,41.0,41.3,39.57,737467,3060626288.0,4.35,3.17,1.26,1.05
2021-11-16,002475,40.7,42.14,42.61,40.62,827049,3536763840.0,4.85,2.78,1.14,1.18
2021-11-17,002475,41.96,41.72,42.11,41.26,447625,1898891104.0,2.02,-1.0,-0.42,0.64
2021-11-18,002475,41.42,40.11,42.46,39.86,594398,2458748464.0,6.23,-3.86,-1.61,0.84
2021-11-19,002475,40.03,42.36,43.21,40.03,1006741,4327723776.0,7.93,5.61,2.25,1.43
2021-11-22,002475,42.57,42.02,42.59,41.49,620096,2650383360.0,2.6,-0.8,-0.34,0.88
2021-11-23,002475,41.81,41.28,42.03,41.06,394318,1662439840.0,2.31,-1.76,-0.74,0.56
2021-11-24,002475,41.58,41.56,41.91,40.62,405284,1706186560.0,3.13,0.68,0.28,0.58
2021-11-25,002475,41.16,41.01,41.75,40.64,303638,1267978224.0,2.67,-1.32,-0.55,0.43
2021-11-26,002475,40.86,39.38,40.86,39.27,586856,2370541104.0,3.88,-3.97,-1.63,0.83
2021-11-29,002475,38.74,39.36,40.23,38.51,479738,1917982640.0,4.37,-0.05,-0.02,0.68
2021-11-30,002475,39.36,38.91,39.44,38.79,417894,1660144224.0,1.65,-1.14,-0.45,0.59
2021-12-01,002475,38.84,39.06,39.34,38.66,283992,1127115632.0,1.75,0.39,0.15,0.4
2021-12-02,002475,38.67,37.89,39.33,37.7,558144,2174994240.0,4.17,-3.0,-1.17,0.79
2021-12-03,002475,37.91,37.89,38.26,37.36,496448,1906614352.0,2.38,0.0,0.0,0.71
2021-12-06,002475,37.89,38.79,39.36,37.46,554778,2194139360.0,5.01,2.38,0.9,0.79
2021-12-07,002475,39.46,40.78,41.26,39.34,931769,3857078464.0,4.95,5.13,1.99,1.32
2021-12-08,002475,40.96,43.35,43.59,40.14,1272020,5449433088.0,8.46,6.3,2.57,1.81
2021-12-09,002475,43.36,44.87,46.03,42.9,1413263,6449809920.0,7.22,3.51,1.52,2.01
2021-12-10,002475,44.12,44.58,45.13,44.01,681682,3085637200.0,2.5,-0.65,-0.29,0.97
2021-12-13,002475,44.58,45.92,46.26,44.48,812952,3787744880.0,3.99,3.01,1.34,1.15
2021-12-14,002475,45.86,45.61,46.22,45.16,547042,2538941184.0,2.31,-0.68,-0.31,0.78
2021-12-15,002475,45.38,44.63,45.92,44.36,556916,2542784496.0,3.42,-2.15,-0.98,0.79
2021-12-16,002475,45.17,45.82,46.04,44.71,517770,2392758640.0,2.98,2.67,1.19,0.74
2021-12-17,002475,45.26,45.04,46.03,44.91,390770,1802560128.0,2.44,-1.7,-0.78,0.55
2021-12-20,002475,44.76,43.63,45.73,43.14,584668,2616827952.0,5.75,-3.13,-1.41,0.83
